,Username,Tweet,Like Count,Retweet Count
0,GloCare,"@Not_him147 Hello @Not_him147, sincere apologies for that content. The word is also a nomenclature we use here with respect to our 4G services. Kindly disregard the message. No disrespect is meant. ​
***OGE",0,0
1,ireportnews1,"Glo Unveils Data Roaming Services For Hajj Pilgrims - Customers of Nigeria’s foremost telecommunications company, Globacom, will enjoy affordable roaming data to stay connected with family and friends back home when performing their holy pilgrimage to Mecca and Medina.
The com... https://t.co/QF5unMVRRD",0,0
2,ireportnews1,"Glo unveils data roaming services for Hajj pilgrims - Customers of Nigeria’s foremost telecommunications company, Globacom, will enjoy affordable roaming data to stay connected with family and friends back home when performing their holy pilgrimage to Mecca and Medina.
The com... https://t.co/PZrflC8uEy",0,0
3,Thatgirlis92847,"@GloWorld Only for me to put my pin I saw ""Airtime purchase of 19,900 has been successful""
I called my bank customer care line and they said there's nothing they can do I should call my network provider line 
I called glo customer care services and the person that answered me was like",0,0
4,TokunboAdesina,"MTN, Glo, Airtel, and 9mobile stated their firm intention to disconnect bank customers from accessing bank services through USSD shortcodes codes",11,1
5,markvolare,"@BashirAhmaad @MBuhari MTN, Airtel, Glo, 9Mobile Announced Single Codes for Data, Airtime, 11 Other Telecom Services. 

NB. Advise your customers accordingly. 

Don't say i never did anything for you!",0,0
6,9mobileng,@Bornes_Glo Greetings @Bornes_Glo. This is not the experience we want you to have. Please know that we are dedicated to customer satisfaction and that we want you to have a positive experience with our services....,0,0
7,MerchantPlug,"The NCC has released a directive that as of May 17, 2023 Nigeria must switch to one set of
harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this. https://t.co/NnceQ7FjCj",0,0
8,victorpraiztech,"The NCC has released a directive that as of May 17, 2023 all telecom networks in Nigeria must switch to one set of harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this change. No longer will *556#, *123# or *232# work!",8,3
9,victorpraiztech,"The NCC has released a directive that as of May 17, 2023 all telecom networks in Nigeria must switch to one set of harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this change. No longer will *556#, *123# or *232# work!",46,17
10,jamesnottbond,"Nigerian mobile telecommunications companies consisting of MTN, Glo, Airtel and 9mobile are set to disconnect bank customers from using the Unstructured Supplementary Service Data services due to the N120bn debt owed to the operators.",0,0
11,sagarbarad2208,We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely. announcement: https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,1,0
12,codshalom77,"In a sane country,by now an OEM or a MNO such as MTN/Airtel or Glo would have grabbed you, given you all the certification needed and supported you to open up your own super centre where you can give more customers personalised services for lesser charges. In turn you training more people thereby creating employment. But we're not in a sane country. Nigeria is upside-down 
Kudos to you bro keep up the excellent work and customer service!
#Obidients",135,8
13,babs_illy,@Naija_PR glo tops the chart of bad networks since 2017.i keep calling the customer care and they tell me things that dont work.I WISH A STRONG NETWORK COMES AND CLEARS ALL these BAD SERVICES,23,0
14,bendave246,"@GloWorld Frankly speaking I don't like you people services.. this is almost 3 months now I mistakenly sent Glo credit card to an Mtn line, and I called the customer cares but I'll tricked and I sent emails to https://t.co/epDHQDsN5k or whatever they sent me to send an email, I",0,0
15,BAT_KillsDreams,"Our devoted customers of Glo Heated Tobacco Devices #HTD's were left with useless devices due to the unavailability of @BATplc 's cigarettes in Egypt. This deceitful move by BAT has cheated customers of #Kult, who trusted and relied on us for quality products and services.",0,0
16,sagarbarad2208,We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers https://t.co/EhNE7n5dzP  https://t.co/slWdPTZP4F,1,0
17,sagarbarad2208,We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely on to develop and bring https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,1,0
18,SirK_3,"@GloWorld Glo please do something about your network. It’s very frustrating. I have been complaining since Saturday. Your customer care services keeps repeating same lines. I can’t browse, have to wait for minutes to load a page",0,0
19,sagarbarad2208,We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely on to develop and bring life https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,1,0
20,sagarbarad2208,We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely on to develop https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,1,0
21,Oluwa_ojo,"@GloWorld @adenuga_wale Hello Glo team, this is totally unacceptable.  If you're having issues with your network why not come out to inform your customers this is bad of a company like you. You need to do something urgently about this poor services.",0,0
22,ElshabazzMalik,"Can people stop mentioning customer care services under a popular and trending tweet.

Any catchy news has gazillion of MTN, glo, gtb, access, Zenith, kedco, Edco etc complaints.

You have to swim through all these miscellaneous requests to read reactions.",0,0
23,Abdul_lagwani,"Network providers, like mtn, glo &amp; others do inform customers in advance, if they sense poor network. Why can't banks do the same to avoid all this incessant transactions failure?! We're sick of the terrible &amp; inefficient bank services. Get it fixed now or lose your customers.",2,1
