,Username,Tweet,Like Count,Retweet Count
0,AScully789,our quality of service has gone down today because Glo no longer play that role. the industry is now an oligopoly,0,0
1,snrpapi,"@KemPatriot I have nothing against boda Mike but I parted ways with glo 5 years ago. Not saying you should come to the sunny side but my 3 enTeeEn sims no dey put me for ‘ooo Gawd’

Egbon Ade needs to do better with his quality of service",0,0
2,Otaporju,"@Nana_Remi03 Partially incorrect, I use GLO and it's been a smooth sailing. Although the location also determine the quality of service",0,0
3,4eyedmonk,"Glo sells the cheapest mobile data, but are not top 2 for most data subscribers. There is a reason of quality of service for that. Still they pile money into adverts with nothing different happening. Speak of insanity.",29,14
4,ElianaOsazee,"Dear @NITDANigeria 

Help Nigerians.

Please!

The Quality of Service rendered by @MTN180  glo and Airtel is rubbish.

Their internet and other infrastructure should be audited for QC checks.",0,0
5,SirDavidBent,MTN network has been very bad for users in these past few days. They are slowly replacing GLO. My advice is for y'all to settle for Airtel. The truth is the quality of service delivered by these ISP providers has dropped badly. None is one hundred percent trustworthy.,94,20
6,NITGenius,"@iamabayorr Same here. MTN, Glo, etc. have cheating their customers on data and call rates as poor quality of service",0,0
7,Owi_PAID,"@9mobileng Ever since you changed from @Etisalat_Care  to @9mobileng your quality of service has steady declined year in year out. Can’t believe I enjoyed better network service in 2013, compare to 2022, completely undependable, had to buy an extra glo router just incase. You guys😡😡",0,0
8,abujastreets,Glo needs to slow down on all these ads and focus on improving quality of service.,27,7
9,_namedNameless,@MaziLupin Pls do o. The quality of service glo gives is a human rights violation.,0,0
10,niftycraftmc,@EmronLV @jagganiyu @austar17 Glo will not grow to any thing since their only investment to improve the quality of service is to have 'glo ambassador'.,0,0
11,_omoagba,"@Faithysia_blunt @C_trouble_major @fimiletoks How? Which local telco provides the quality of service MTN has?

Does Glo or 9Mobile have the proper management to even attract foreign investment for infrastructural expansion?

See ehn, thank God for MTN in Nigeria",1,0
12,humanly_typed,"I wouldn't think I'd ever post this from a Glo SIM: ""9mobile is hot trash"".
I just lost what would have been a productive day. These networks give us no baseline quality of service, they're business risks.",0,0
13,awshields,"@carathewalton @verge Switched to Glo in September, it's been night and day in terms of quality of service compared to Comcast.  Plus, I never have to deal with the world's worst customer service again.  Strongly recommend switching",1,0
14,SheriffOla4,@GloCare glo should invest in infrastructure to be at per or above their major competitors in respect to quality of service not spending millions on adverts to promote inefficient network.,0,0
15,SheriffOla4,"@GloCare I'm bringing this to your notice as a patriotic citizen of this country.
Glo network is getting bad by d day especially data service,it is no where near other major competitors in terms of quality of service &amp; I'm afraid glo may end up like other Nigerian company b4 it.",0,0
16,Wild_unn,"If adverts were quality of service, Glo would be the DStv of cable network in Nigeria.",0,0
17,gloheating,"Why choose Glo?

We thoroughly enjoy our work and this is reflected in the quality of service and workmanship that we deliver, we also pride ourselves on being reliable and transparent.

https://t.co/QBAceUQm54

#GloHeating #Services #WhyChooseUs https://t.co/jYHCXHqEA1",1,0
18,KoloJesse,The truth is even with their dark moments of disappointments MTN still remains the best service provider in this country. We all expected Glo to do better but obviously they are more concerned about the number of mast they put up rather than the quality of service they provide.,1,0
19,KarkundiLar,"You people will use your entire days of the week to drag Glo network, only to borrow WiFi connection from Glo users to shade Airtel and MTN and 9mobile for poor quality of service.",0,0
20,chimzi_61172,"Kindly restore services to what is used to be. you can increase price and yet alter the plan or quality of service. Also, in the past 1week your network has been so erratic that have to substitute with GLO. I have attached a picture of the mail received as evidence.",0,0
21,spaceworld33,"@MTNNG  it will be nice to port MTN Hynetflex card MTN 0803200 MTN 0803201 and MTN 0806200 all to Airtel and Glo if i can't  have quality  of service. At Ofiran Ibeju Lekki 
So sad using Airtel to log complain for 4 MTNN sim cards",0,0
22,spaceworld33,"@MTNNG @MTN180  it will be nice to port MTN Hynetflex card MTN 0803200 MTN 0803201 and MTN 0806200 all to Airtel and Glo if i can't  have quality  of service. At Ofiran Ibeju Lekki 
So sad using Airtel to log complain for 4 MTNN sim cards",0,0
23,lordfaj,"But again, the quality of service differs with location. Glo is really great where I stay but the moment I get to Third Mainland, it is downright crap. 9mobile used to be great at some point but I think they have lost it.  Fibre One comes highly recommended but it's not mobile.",0,0
