,Username,Tweet,Like Count,Retweet Count
0,Successnas,"@GloWorld Yet to rectify my 2year old migration problem.
You should be ashamed that for over 2years I keep complaining over my inability to change tarrif plan yet you could not rectify it. 08054540884 is the number
Glo change my tarrif plan! !! !!!",0,0
1,djdozzy_tweets,"@AirtelNigeria Pls i want to migrate to airtel tarrif plan whereby for every recharge I’m been awarded airtime and data, in glo is called globerekete",0,0
2,SoOpaSnazzY,@abisodewale @AirtelNigeria Pls let me know the best tarrif plan for glo and browsing code ....tnx🙏,0,0
3,FaremiOB,@GloCare @GloWorld So I have been using my airtime to call your customer care lines for more than 4 times and you keep responding after 24hrs that the issue has been resolved but I still can't change my tarrif plan. I need leave Gbam to Glo 11k/sec please...,0,0
4,__Xquisite,"@GloWorld @GloWorld  Yeahh it got resolved the day after,please bring back the yakata tarrif plan or something similar,this glo berkete prepaid tariff plan isn't jus it....thank You",0,0
5,adenitan,"@GloCare what's the tarrif for the Glo N500 data plan that gives 8gig for 14 days.
I got an SMS advertising this as new data plans",0,0
6,realminablog,How To Change Glo Tarrif Plan https://t.co/uqH2y2LDZ0,0,0
7,Vistanaij,GLO restructures tarrif plan https://t.co/8TSKeC9ff0,0,0
8,toyosiogun13,Glo berekete tarrif plan is so cheap and far better when it comes to call(36k/sec main account) and (77k/sec voice bonus account) also came with data benefits which is what I currently use to tweet. All thanks to  @DONJAZZY for making this available to us all. Dont sleep on it o. https://t.co/DueivIZaID,0,0
9,Pet4luv,"Activate a Glo sim now and enjoy new #GloBerekete tarrif plan.
@donjazzy  @gloworld  #GloBekerete https://t.co/NnjWCQRriE",0,0
10,Itz_Oshoke,"What are you waiting for? 
Activate a Glo sim now and enjoy new #GloBerekete tarrif plan. https://t.co/TzlenYlxdM",0,0
11,RealEmmalez,"Yaay, @gloworld just announced the  emergence of @donjazzy and @tenimakanaki as it's new ambassadors with its launch of Glo Berekete. 

Activate a Glo sim now and enjoy new #GloBerekete tarrif plan. https://t.co/zBYK0QvxNA",1,0
12,WildFlowerPR,Activate a Glo sim now and enjoy new Glo Berekete tarrif plan.#GloBerekete,0,0
13,GloCare,"@alamu_nurudeen Hello Kayode, your line is on the 11k tarrif  GLO 11k/sec plan. Onnet call rate: 11k/s (Excluding VAT). Offnet call rate: 11k/s (Excluding VAT)
Access Fee on first outgoing call of the day: N7 (N7.17 including VAT) On-net SMS: N4/SMS. Off-net SMS: N4/SMS
AA",0,0
14,real__stella,@GloCare Please I want to change my tarrif plan to glo yakata but not working. Please what do I do now,0,0
15,_bidrock,"@killamic80 @Moselova2 @volqx__ @ThatLankyBoi @eniturn @zeezish_ @iTv001 @Life_of_umar @dahtgirl_ajex @jibbyford_ @heisTactic @Tife_fabunmi @_oluwatobiiiii @GloWorld Yes oo. Especially the ""Glo 11kobo Tarrif Plan"", you'll just call any number confortably without checking the time ❤️❤️",0,0
16,AkintomiwaAA,"@GloCare please what is the cheapest tarrif plan on glo, A tarrif that does not attract bonus though.",0,0
17,justnev7,@GloCare pls glo.i beg u in the name of God don't migrate my line to yakata again I hate the tarrif plan it's useless my tarrif plan is jumbo and I am ok with dat,0,0
18,day_voo,@manlike_rex @playboy_ag Taste differ baby . Whereas mtn and glo tarrif plan dey different,0,0
19,MR_LAMIDE,"@GloCare good morning Glo. Please, as an existing customer, I'll like to migrate to Glo Yakata tarrif plan. I learnt it's ""*230#"" but it's not working. Any tips?",0,0
20,MolaWaleTech,"@GloCare
I want to know the tarrif plan I'm using on my glo number: 08054767195
I want to activate to Glo Yakata and I am receiving invalid response when I dial *220#. Please kind help me out",1,0
21,altaaf_ML,@mo_bell0 @feyilee_ @FunmiKolz @DeeyaMuhammad @Sir__md Don't mind the GLO users trying to convince MTN users to migrate to their tarrif plan....,1,1
22,DareFunso,@GloCare Give short code to the available tarrif plan on Glo,0,0
23,justnev7,@GloCare Glo pls u don't have 4g network in Benin edo state.?.. Cos I bought a 4g line  a Day ago... Up till now I am not seeing 4g network on my phone all I am seeing is 3g network . my no is 08159074403 and pls what is the benefit of the tarrif plan on my line?,0,0
24,Joshgalaxxy,"@GloCare hello glo care, pls what is the major difference btwn glo gbam and glo bounce tarrif plans, i make lots of calls and will like to knw which plan is most favorable",0,0
25,victormaley,@GloWorld Which tarrif plan is cheap in glo,0,0
26,OnGodWeWin,@GloCare hi. I recently moved to Glo yakata tariff plan and I must say I am regretting that decision. Thing is i cant recollect what tarrif plan I was before migrating to yakata. Is there a way you could help me find out the previous plan I was on?,0,0
27,teflondongedo,@GloCare Now I have #100 on my number and still can't subscribe to this Glo bam tarriff....  I spent much money on calls and I need a remedy to that asap. My number is 08071362898. Just subscribe me to the best package that have better tarrif plan asap,1,0
28,nignaira,@GloCare is glo yakata also a plan? What's it tariff and glo bumpa tarrif?,0,0
29,mrdreamstyle_ng,"@GloCare Hello Glo Care 
If I migrate to Glo 11/sec tarrif plan will I still be able to receive Yakata bonus when I recharge",0,0
30,Chuxx100,Hello @GloCare does Glo yakata tarrif plan stop working after 6 months of usage?,0,0
31,kingjemi_,"@GloWorld  @glocare
I've been on glo yakata tarrif plan and I get these ""ONNET "" bonuses that comes with it, which is separate from my ALLNET bonus but still don't know what the ONNET Bonus given is used for because it just accumulates and never get's cut from.",0,0
32,Basurt75,@GloCare good morning. Pls which tarrif plan will be charging me 11k or 12k/ seconds without any hidden charges on glo. Pls reply me the plan with the code. Tanx,0,0
33,Lee_royale3,"@Mister_Judah I will choose GLO over and over again,but I honestly don't know why people complain about @glo Get you a GLO 4G LTE choose the tarrif plan that suits you and you will be happy just as I am👌",3,0
34,ajyinks,@GloWorld Please is there free night call on any glo tarrif plan? If there is what plan is that? Thanks,0,0
35,IlesanmiTommy,"@GloCare .Good day.I don't understand d reason why u people migrate me 2 a plan I don't understand anything about called ""Yakata""&amp;after recharging I discovered dat my main account is empty.Pls refund my 1k and return me back 2 d former tarrif,bcos I used Glo 4 subscription alone",0,0
36,real_zakx,@GloCare Im on glo yakata tarrif plan can i still subscribe to the glo idd call slasher?,0,0
37,jayteeofnaija,@GloWorld @GloWorld i migrated to yakata tarrif plan yet i don’t get all the bonus promised especially the recharge airtime and getting bonus airtime my glo number is 08051583599,0,0
38,kenwills01,@GloWorld Tell me the cheapest tarrif plan on Glo and I'll gladly migrate to immediately.,0,0
39,oluwaloseyi07,"@GloWorld good day, can a new subscriber migrate to the glo bumpa tarrif plan?",0,0
40,lukman_adebiyi,@GloCare please kindly help me with my sim I have not been getting any bonus in glo bumpa tarrif plan as advertised,0,0
41,fredie107,"@GloCare Just switched to glo Yakata tarrif plan,  how do I check my data bonus on glo Tamara?",0,0
42,onchukwusom,"@GloCare I have been trying to migrate to Glo Yakata since yesterday, but to no avial. I used *220#, but after getting a welcome reply, I check with #100# and still see ""free tomorrow"" tarrif plan. 08070734851 is the number. Pls reply ASAP",0,0
43,eltunjeee,"So this how i just miss my data. 
I wanted to check this Glo Yakata and booom ot activated the tarrif plan.",1,0
44,wetechng,"Wetechng updates: All you need to know about Glo new Tarrif Plan, Glo Yakata via
https://t.co/Ltgg3RuWhe #Glo #GloYakata #Freebrowsing #Tech  #Cheat",0,0
45,DrightSauce,GLO is shitty but their tarrif plan is very affordable.... I’d have opted to GLO if not for their network... https://t.co/uelfqJrhIH,0,0
46,Potterstouch_,"@GloWorld why do I always get a deduction from my line's credit. And if i call customer care, all I hear is different unreasonable excuses like 'you subscribed for a special tarrif plan',  which is a blunt lie 4frm them Extortion refdefined by Glo world",0,0
47,yummiejay1,"@GloCare i am not enjoying this glo jumbo pack benefits.. ever since i migrated to another tarrif plan, i havent been enjoying thé benefits..",0,0
48,techlegible,Glo Bumpa Tarrif Plan Offer Free 200% Bonus And Free Night Calls For 30days https://t.co/JmcT6QOloZ,0,0
49,DannyKinz1,Glo Bumpa Tarrif Plan Offer Free 200% Bonus And Free Night Calls For 30days https://t.co/S7Z50X5J5X,0,0
50,ChinedJohn,@GloWorld Am trying to migrate to Glo 11k/s Tarrif Plan for long but it's not going through. Please can you help me to do it. 08070518306,0,0
51,OJay_Jahswill,"Please I'd like to know, did I change my tarrif plan when I activated that N20,000 naira Bonanza? Because the rate at which you guys charge for calls now is just terrible. Besides, the N20,000 is just for glo to glo lines @GloCare",0,0
52,sakabeAJ,So guys what's the best glo voice call tarrif plan @GloWorld,0,0
