,Unnamed: 0,Username,Tweet,Like Count,Retweet Count
0,0,GloWorld,@IBORMAN001 @MTNNG @AirtelNigeria @9mobileng Hello @IBORMAN001. Ou data plans have been designed to satisfy our customer's thirst for internet activities and they have been tested and trusted. Simply dial *777# to purchase a data plan.***Dubby,0,0
1,1,GloWorld,@NdupuAnthony @CNNAfrica @glonigeria Hello @NdupuAnthony. Kindly dial *127*02*phone number # to unshare. Please note that you need to have an active data plan to be able to unshare.***Dubby,0,0
2,2,GloWorld,"@Oyinkande Hello @Oyinkande ,  I am sorry to hear this and for the delayed response. The N1000 data plan gives 1.9GB plus 2GB for nightly browsing, which equals 3.9GB. Kindly visit https://t.co/yL8KTjbij4 to view your data balance. Thank you. _Paul",0,0
3,3,umehvictor19,"@SaharaReporters @OPay_NG  I bought mtn 6gb for 1500 weekly you Guy's debited the money and I did not receive any data, when I called u guys said I selected glo data plan, like seriously ?/how is it possible for u to select glo plan with ussd code, I will advice people to stop using opay",0,0
4,4,umehvictor19,"@Sports_Doctor2 @OPay_NG  I bought mtn 6gb for 1500 weekly you Guy's debited the money and I did not receive any data, when I called u guys said I selected glo data plan, like seriously ?/how is it possible for u to select glo plan with ussd code, I will advice people to stop using opay",0,0
5,5,GloWorld,"@O2Realtors @CNNAfrica Hello @O2Realtors .Please note that N500 data plan gives 1.8GB (800 MB  for day time browsing and 1GB for night browsing ).
The night plan is activated between 12 am to 5 am.
Kindly visit https://t.co/yL8KTjbij4 to view your night bundle.
All inconveniences are regretted.**Funmi",0,0
6,6,GloWorld,"@James8640031684 Hello @James8640031684, check shows that you purchased N1500 monthly bundle not Special N1500 plan which is 7GB. Please note that the N1500 plan gives 3.5GB and 4GB night data plan to browse between 12am to 5am /30days =7.5GB. *Odewole",0,0
7,7,kemisolar1369,If Glo wan kill someone like me finish make dem just remove ashawo data (WTF) from their data plan🤣🤣🤣🤣@GloWorld I go just start dey use my phone dey play snake xenzia 🐍🤷‍♀,2,0
8,8,GloCare,"@Fr33m4nD @Itzchris16 Hello @Fr33m4nD, we sincerely apologize for being unable to browse with your night data plan. Kindly switch on and off your flight mode, then connect anytime from 12 am to 5 am. Thank you. _Paul",0,0
9,9,GloWorld,"@Martinsphil5 Hello @Martinsphil5, I am sorry  to hear this. To unshare the number, dial *127*02*number# while on an active data plan. 
**Morayo",0,0
10,10,Ondo_Pikini,"🟡3GB MTN @#1k &amp; 10GB @#2500
🟢3GB GLO @1.2k(#1,200) &amp; 10GB @#2700  
🔴5GB Airtel @#1.5k(#1,500) &amp; 10GB @#2700😳
⚫️9mobile 3GB @#900, 5GB @ #1,300 &amp; 10GB @ #2,200
🔲 All network Data plan is 30days! 

Know be juju be that? 
FREE-GUY$🤍 got you cover! https://t.co/v5zUH02wpr",0,0
11,11,GloWorld,"@physicsdadd @_kingjonah @MTN180 Hello @physicsdadd. Kindly be informed that data depletion is based on your usage. Please confirm that this 08077545359 is your correct number. There was no 7GB data subscription on the line, the current data plan is the pre-activated N100 plan.   **Adigun",0,0
12,12,iamorjiemmanuel,"GLO feel off big time!! Network's shit, data plan is shit",0,0
13,13,GloWorld,"@seunajayi03 Hello @seunajayi03 , sorry about your experience.  Checks show that you have an active N500_Oneoff data plan.  When this happened, may I know if you took any steps to make the situation better, like restarting the phone or changing your network mode(2G,3G,4G)? *Justin",0,0
14,14,seunsimi,"NCC have merge all Network codes to be the same 
So from today if you have MTN, Airtel, Glo and 9mobile
Use the following code.
1. Data plan *312#
2. Airtime recharge *311#
3. Borrow airtime *303#
4. Data Balance  *323#
5. Account balance *310#
6. Share data  *321#
7. Vas  *305#",1,0
15,15,GloWorld,"@Oyebidexx Hello @Oyebidexx , sorry about your experience. Checks show that you do not have an active data plan. *Justin",0,0
16,16,Ugo_ez,I don’t know which has better data plan between Airtel and Glo.,0,0
17,17,GloCare,"@olakunley1 Hello @olakunley1. You may opt for our special data plan. Please go through our *777# menu to view our data bundles and purchase the data plan of your choice. 
-Jane",0,0
18,18,GloCare,"@ChristianEkoba Hello @ChristianEkoba. Checks show that your line has been worked and that your data plan is active at the moment. Please toggle your flight mode and restart your device now to resume your browsing. We regret any inconvenience caused. 
-Jane",0,0
19,19,GloWorld,"@otuyojulius @MTNNG @AirtelNigeria Hi @otuyojulius, our unlimited 4G data plan goes for 60,000-80,000 monthly. To set this up, you can walk up to any of the Gloworld shops and sign up for the plan or email pricing.enterprise@gloworld.com.",0,0
20,20,GloWorld,"@d1_shyben @desola__xn @d1_shyben to view the numbers, please dial *127*00#. To remove any unwanted number, please dial *127*02*NUMBER#. Removal will be successful only when you have an active data plan. *Godwin",1,0
21,21,Aishah_Babby,"Good morning Famclients 🤗
Happy new week.. ❤️
  Get your Cheap Internet Data Plan and Airtime Recharge for Airtel, 9mobile, GLO, MTN,DSTV, GOTV, PHCN and Results check.Also available for your Data giveaways.💯

NO SCAM ZONE ✅ 💯❤️
@Vendorsspot_OTF #Askforvendors #Vendorspototf https://t.co/COwy6oEcmY",35,33
22,22,GloCare,"@KingsleyIbang11 @SportyBobz Hello @KingsleyIbang11, sincere apologies for my delayed response. Please note that the Sunday data plan cannot be rolled over and cannot be merged with a regular data plan. 
-Jane",0,0
23,23,GloWorld,"@Harmoho_rilwan @MTNNG @AirtelNigeria @9mobileng @Harmoho_rilwan Our unlimited 4G data plan goes for 60,000-80,000 monthly. To set this up, you can walk up to any of the Gloworld shops and sign up for the plan or email pricing.enterprise@gloworld.com.",0,0
24,24,GloWorld,"@AKINKAZEEM002 @AlhashimiUsman @SERAPNigeria However, if you require a data plan which can be used at any time of the day, you can subscribe to any of our mega plans by dialing *777#. **Elo",0,0
25,25,thusomakoa1,"@Sidney_Monageng @Rele_Glo Spot on. Plus the router and my mom's data plan, I am paying R189 in total.",0,0
26,26,TshepisoMaile,@_tebok @Rele_Glo My data plan too,0,0
27,27,GloWorld,"@IdowuDavid08 Hello @IdowuDavid08 . Please note that your campus booster data plan can work anywhere. However, within campus environs, you are charged half of the data volume used while browsing, and when you browse outside the campus environs, charges are back to the regular rate.*Justin",0,0
28,28,GloWorld,"@TottleVictor Hello @TottleVictor , sorry about your experience. Checks show that you have an active Special_500_Oneoff data plan. May I know the exact network issue you are experiencing: slow, fluctuating or not browsing at all? *Justin",0,0
29,29,GloWorld,"@therealjosh_7 @bod_republic @GloCare Hello @therealjosh_7 , sorry about your experience. May I know if you have been able to purchase the data plan?*Justin",0,0
30,30,GloWorld,"@DarkSpace100 Hello @DarkSpace100, I apologise for the delayed response.   Checks show you do not have an active data plan. Kindly dial *312# to subscribe to data. Kindly turn on and off your device flight mode for a better browsing experience. Inconvenience regretted. **Yewande",0,0
31,31,GloCare,"@iamsamsino @iamsamsino  To check for a data subscription, dial *777#.
To check for a data plan balance, dial *323#.
To check for an airtime balance, dial *310#.
To recharge, dial *311#  **ADA.",0,0
32,32,GloWorld,@Media_3SixtY @Media_3SixtY May I know the data plan you intend to subscribe to via *777# ? Kindly provide your number via DM for checks and assistance.   *Laura,0,0
33,33,GloWorld,"@Oyebidexx @bod_republic Hello @Oyebidexx, sincere apologies. The N500 data plan gives you 800MB + 1GB which is 1.8GB. The 1GB is a night data bonus which can be viewed via https://t.co/yL8KTjbij4 and can be accessed from 12 am - 5 am.  *Laura",0,0
34,34,GloWorld,"@ZAMANI87872865 @ZAMANI87872865 Checks on the line show that there is no data. Kindly subscribe to a data plan then put on and off the airplane mode on your device for 60 seconds and try connecting. If the issue persists, kindly revert.   *Laura",0,0
35,35,GloWorld,"@Oyebidexx Hello @Oyebidexx, sincere apologies. The N500 data plan gives you 800MB + 1GB which is 1.8GB. The 1GB is a night data bonus which can be viewed via https://t.co/yL8KTjbij4 and can be accessed from 12 am - 5 am.  *Laura",0,0
36,36,Gutsybless,"NCC Have merge all Network code to the same Code.

MTN, Airtel, Glo and 9mobile  dis is the  codes you will be using now:

1.  Data plan *312#
2.  Airtime recharge *311#
3. Borrow airtime *303#
4. Data Balance  *323#
5.  Account balance *310#
6.  Share data  *321#
7.  Vas  *305#",3,3
37,37,MomooreolwaA,"""Dear customer, your data plan will expire soon""
Glo, do you want to wreck me😭😭",3,1
38,38,RealEzeki,"Below is the new combined USSD code for mobile network in Nigeria which took effect on 17/May/2023.

MTN, Glo, Airtel, 9Mobile and Ntel

Credit Recharge
*311#

Account balance 
*310# 

Data Plan
*312# 

Data Plan Balance
*323#",0,1
39,39,GloWorld,"@itsreree2 @itsreree2. Please note that once the main data volume is exhausted, the data plan expires irrespective of its validity. The night bonus expires along with the data plan. 
-Jane",0,0
40,40,GloWorld,"@itsreree2 @itsreree2, please be aware that the nightly bonus data is only valid for the duration of the data plan you purchased.
-Jane",0,0
41,41,GloWorld,"@itsreree2 @BellaNaijaWed @itsreree2, may I know if you are referring to the data plan that expired by 11.15 p.m. last night? 
-Jane",0,0
42,42,GloWorld,"@itsreree2 @BellaNaijaWed Hello @itsreree2, sincere apologies for my delayed response. Checks show that your night data plan expired by 12.43 am this morning.
-Jane",0,0
43,43,somah_ski,Does Glo have any data plan better than 1500 for 7gb????,1,0
44,44,niyyhi,Glo is my own problem right now. Glo wants to finish me with messages of a data plan I never subscribed to expiring.,1,0
45,45,GloWorld,"@egbo_mathias @VivianConcept @atiku @SecBlinken Hello @egbo_mathias,  sincere apologies. When you subscribe to a data plan, kindly turn on and off your device's flight mode for a better browsing experience. Sincere apologies for any inconvenience caused. 
**Morayo",1,0
46,46,GloWorld,"@Mmadubuezejo @atiku @SecBlinken Hello @Mmadubuezejo,  thank you for reaching us, and I'm sorry for the delay in response. Please dial *127*00# to view the number you shared data with while on an active data plan. 
**Morayo",0,0
47,47,GloWorld,"@ridwan4199 Hello @ridwan4199, I am sorry to hear this. A check shows you do not have an active data plan to browse on 07057333611.",0,0
48,48,GloWorld,"@dammyhack Hello @dammyhack,  Thank you for reaching us. Please be informed that when you subscribe to the N10,000 data plan, you will only be given 50GB. However, you will be given bonus MB on every recharge on Bereke 10x. 
**Morayo",0,0
49,49,GloWorld,"@BamiVon Hello @BamiVon, I am sorry to hear this. May I have your number and how much data plan you subscribed for?
**Morayo",0,0
50,50,GloWorld,"@OgokehChii @OgokehChii .Please note that N2000 data plan gives 9.2GB (5.2GB for day time browsing and 4GB for night browsing )The day time data  was used up completely, while the night data was unused.**Funmi",0,0
51,51,OluwaAlake,"How To Check Data Balance On GLo
Open up your phone's dialer and punch in *127*0#. You should automatically get a text displaying your current data balance with Glo

Buy Cheap GLo Data Plan at MyData Factory https://t.co/xDRdSsFSaO https://t.co/1GtNQysXGB",0,0
52,52,OluwaAlake,"GLo Data Plan 
https://t.co/xDRdSsFSaO https://t.co/yg3M6Cqa9X",0,0
53,53,Dr_DeathCODM,"@palmpay_ng Hello, I mistakenly bought a Glo data plan for a MTN number",0,0
54,54,Sadon_G,@GloWorld You guys tend to pretend as if you don't know what you are doing. Subscribing to glo data plan is as good as wasting your money. No be by force and I still get the same SMS after activating the DND. https://t.co/OLXoDkjpfM,0,0
55,55,IamDannyben,Best in turning off and turning on airplane mode to activate Glo data plan https://t.co/IyiZC3ts1R,121,57
56,56,__Katrynaa,Glo users please which data plan do you guys use?,3,1
57,57,OmotundeOyeban2,"Data promo Data promo !!!!15% discount on any Data plan purchased, Mtn, Airtel, Glo, 9mobil call now 08150494474",0,0
58,58,tino_modise,@Rele_Glo I'm currently using it.. . I'm on the R319 unlimited data plan and it's amazing,0,0
59,59,egaton77,"@GloWorld I have severally called your call centre to complain of an unreasonable data exhaustion  but I have up till now not been given a logical explanation. Its sad that one subscribe to a data plan of N5,000 in less than one week it's gone for a lite user. Glo this fraud gat to stop",2,0
60,60,Okikiolaoluwaa,"Wahala .., my data plan will expire soon again? Now I know Glo is really sucking data mehn.. tf, egbami😩🤦🏽‍♂️",2,2
61,61,DeVixion,"Glo saying ""you can work from home"" with their mega data plan. Lemaooo 🤣

Kuku sack me 😂",1,0
62,62,OshobukolaExcel,"I think the entire staff of @MTNNG is feeding on my data.. because the rate at which my data finishes this day needs to be studied.

Data that I can't finish in a month before, now finishes in a week?

Just how?

Abeg what's the glo or 9mobile data plan like? @MTNNG is a cheat.",0,0
63,63,TijaniWahab9,@destiny444c @Dhavidote Pls brr.. I need a good data plan on glo,0,0
64,64,chuks_nadia,"Which network has the best daily data plan?

Airtel or GLO? 🤔",2,1
65,65,boshiame,"@GloWorld @davido Hi @GloWorld  
I have a Glo line that bought social bundle and the data plan isn't working. Please Look into this.",0,0
66,66,rolams009,"Important notice: The NCC has successfully unified the ussd code for all telecom operators in Nigeria.

For
GLO, MTN, AIRTEL, ETISALAT Recharges and Data dial:

*311# for all recharge
*310# for all credit balance
*312# for all Data plan
*323# for Data balance",0,0
67,67,KOSCITY1,@h0llaOla Glo has most better data plan ever ...,1,0
68,68,thenameismuzz,It's like I didn't subscribe for rain data plan coz what is this glo,0,0
69,69,kopite04,"Pls who can help with the best Glo data plan in the excess of 30gb. 
Am switching from MTN before dey send me back to village.",1,0
70,70,Jayheff_Femi,Please glo subscribers help me! This their data plan wan finish my life.,0,1
71,71,GloWorld,"@Mag_Ni_Fico Hi @Mag_Ni_Fico, I am sorry to hear this. Kindly DM your Glo number and the data plan purchased so I can check it out for you. *Godwin",0,0
72,72,barhamsmail,"@GloWorld @adebisimakinde @fccpcnigeria 😂 am I a joke to you. Why are you people like this, you don't even rate us. I told you, you have no monthly data  plan without night data plan. The few ones without night plan have are only valid for one day, highest a week. Glo, you can do better.",0,0
73,73,Aishah_Babby,"Good morning Famclients 🤗
Happy new week.. ❤️
Happy new month 💐
  Get your Cheap Internet Data Plan and Airtime Recharge for Airtel, 9mobile, GLO, MTN, Pay DSTV, GOTV, PHCN and Results check.. Also available for your Data giveaways..💯

NO SCAM ZONE ✅ 💯❤️
#Vendorspototf https://t.co/yDNRL2vD5F",76,66
74,74,Joshsmithbaba,@Naija_PR @GloWorld glo whats wrong na I did about 4gb worth of data this morning and under 5 minutes u guys said I don't have any data plan again,0,0
75,75,GloWorld,"@BBSTAR_123 Please note that the N500 data plan gives 800MB and 1GB night data (to browse from 12am to 5am). Kindly visit http//hsi.glo.com to view the night data.
**Anugwa",1,0
76,76,georgeyyaaa,"Once this data plan finish na hostel WiFi like this, I thought Glo had finally changed their ways",0,0
77,77,AngryEda,"Switched Mtn for my glo aim and I'm online with ease. Smhhhhh, just hope it stays this way and I find a proper data plan.",0,0
78,78,GloWorld,"@BIG_045 @bod_republic Hello, To unshare, please dial *127*02*Glo number #.To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0
79,79,GloWorld,"@BIG_045 @bod_republic Hello, @BIG_045. To unshare, please dial *127*02*Glo number #.To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0
80,80,Bouquidivas,@tits_n_weed @bod_republic Don't even talk about that Glo self.... They are the worst data plan ever!,0,0
81,81,friskyrobson,"@GloWorld @therealsnacho @whereistega Tell your superiors to revised data plan.

Can't remember the last time I subscribed to glo data because it's not giving me the data worth I want

@MTNNG tried with 6k for 40gb, then they started misbehaving by offering 37.5gb for 6k.

I had to port to @AirtelNigeria, 5k for 40gb",0,0
82,82,ghostmett,"Lol

Someone told me I don’t do WhatsApp calls.

Not like my network is bad o😂. Me that uses glo for calls, I’ll be on sub and still spend day 1k per 30mins calls. 

So if I spend 1hr talking to her per day, I’ve spent 60k on call card in a month, that’s aside my data plan.",0,0
83,83,GloCare,"@ebube_nwaeze @CrazyDREAMER254 @glo @GloWorld Hello @ebube_nwaeze, sincere apologies. Your complaint has been escalated to the concerned unit for resolution. Feedback would be given once done. However, check show that there is currently no data on  09055633832. Kindly subscribe to a data plan,",0,0
84,84,Pauloyewole3,Glo monthly data plan code 2023 https://t.co/qE5obyVs2F,0,0
85,85,segunDaniel22,@TheDadaboy How will a customer purchase a Glo data plan #500 for 1.8gb and they will give me 800mb then 1gb for night.. as if that isn't stealing,1,0
86,86,Thereallegacy12,"@Naija_PR Glo 
network plus data plan na just rubbish",5,0
87,87,WuraolaIfalola,"Our amazing Data plan offers

GLO 1TB 
#90,000
Validity: 365 Days

9MOBILE 425GB 
#42,000
Validity: 90 Days

AIRTEL 120GB + 24GB bonus
#19,000
Validity: 30 Days",11,15
88,88,speedydataplug,"Here are our amazing Data plan offers on all networks.
GLO 1TB 
🏷#80,000
Validity: 365 Days

9MOBILE 425GB 
🏷#45,000
Validity: 90 Days

AIRTEL 120GB + 24GB bonus
🏷#18,000
Validity: 30 Days

Send a DM to order or https://t.co/WvJPCgkJd4

#Vendorspototf 
#Onlinetradefair https://t.co/KYNk5Jb1jA",34,43
89,89,awobuss,"Glo has been harassing &amp; bulling me with this boring &amp; irritating sms: 

Dear Customer, Your existing data plan has exhausted/expired. To continue browsing, dial *777# to buy data plan or dial *108*1# to browse from your main account

and I have tried to reach their call  ...1",0,0
90,90,__adebio1u,It appears that glo’s data plan is worse than Mtn’s.,2,0
91,91,ChibuzorOketa,"@GloWorld @bod_republic If I purchase data plan on my glo SIM, I can't be able to browse with it ,09053491062, this is my phone number",0,0
92,92,trishijay,"@SummerOkibe Mtn is good but data runs like tap water 
Airtel is good and more economical with more data plan to suit your lifestyle.
Glo will dash u plenty data but will go off for hours without explanation or prior notice 😔 so u will never enjoy the data. 
My verdict : go for Airtel 🙂",7,0
93,93,taiwo_oluwadayo,"@instablog9ja @GloWorld pls what’s going on with your network, I usually my data plan for a month but today is 12 and it has finished. How now glo, I purchased this plan on 1st o",0,0
94,94,GloWorld,"@AbogohC @AbogohC sorry, 09038510296 is not a Go user. Only a Glo user can enjoy our data plan. ~Godwin",0,0
95,95,Mide077,"GLO DATA PLAN ☑️
200MB - #100
0.5GB - #200
1GB - #300
2GB - #600
3GB - #900
4GB - #1200
5GB - #1500
https://t.co/PqczhDLZjH",1,0
96,96,Olawherz,"Mtn users, which data plan do y’all do cus I’m not sure I’m using this my glo data alone … I’m so done with the network 🤦🏾‍♂️",1,1
97,97,UchennaVikieben,"GLO: Your Special_1500 has expired. To buy a data plan of your choice visit https://t.co/5GO62t61B7 or dial *777#.

Me: https://t.co/qD0WI41ITX",2,0
98,98,_samueld_,@GloWorldGHCare @GloWorld what’s the possibility of getting double data when i subcribe 5k data plan on my glo sim; im on glo brekete,0,0
99,99,Emmy_young1,"@GloWorld @GloWorld why are you guys always like this? Must I complain everyday? Social plan is not working, normal data plan is not working too, you guys have turned me to a pilot cause am always switching on/off my airplane mode. Why Glo",0,0
100,100,Usman349990,I have bought a glo data plan of 1500 and I was debated and no allocation of it from the first bank How can I get my money back https://t.co/Hhp8rQs7qX,0,0
101,101,JalloSam,"@GloWorld @kelchimezie @Naija_Activist @MTNNG @AirtelNigeria @Etisalat_Care @UN @BBCWorld @BBCNews @OfficialAPCNg @aonanuga1956 @BashirAhmaad @inecnigeria When we pay for data plan in glo *777# what pay for is different from the data we receive. Recently, for instance when you pay for 4k data plan expecting 18Gb, glo will only send you 13Gb, when you pay for 3k expecting a data plan of 13kb they now reduce it to 8Gb. Deception?",0,0
102,102,GloWorld,"@KingFlourich @KadunaResident @GLO__NIG Hello @KingFlourich , I am sorry to hear this and for the delayed response. Please note that the N1500 data plan will give you  3.5GB + 4GB for night browsing = 7.5GB. Kindly visit https://t.co/yL8KTjbij4 to view data balance. _Paul",1,0
103,103,GloWorld,"@mgcrons Hello @mgcrons.  For clarification, do you mean you purchased the N2500 data plan from Glo App? 
*Blessing",0,0
104,104,GloWorld,"@kpad251 @BabatundeAkinp2 @OneJoblessBoy @MTNNG Hello @kpad251 , I am sorry for the delayed response. Glo has the  mega data plan of N100,000 valid for a year. Kindly dial *777#.  Thank you. _Paul",0,0
105,105,heissavage7,@GloWorld I just bought data plan and it hasn’t even activated in like 20 mins. I only needed to  browse at midnight with my MIFi off and #Glo keeps reminding me of why i stopped using them. The same epileptic browsing network. I could write a book on how  much Glo made me loose.,1,0
106,106,nimii_a,I’ll rather trust AEDC  than trust Glo data plan 😭😭😭😭😭😭😭😭😭,0,0
107,107,oluwalonikitan,@kemiwarrior @TheMarlian Glo as the best and affordable data plan tho but na network be there problem.,0,0
108,108,foreverdeb_,"Glo has a 100k data plan that would last you for a year, tested and trusted.",7,2
109,109,chinwewrites,"Me: Glo is the worst network ever 
Still me: subscribes glo data plan",0,0
110,110,livewithlynda,"The ad showcases how Airtel's YouTube data plan enables the protagonists to achieve their dreams, have fun and distract kids with their favorite shows.
Which do you prefer? The high-energy approach of the GLO ad or the emotive storytelling of the",0,0
111,111,D2Bosun_Daniel,@YayiVictoria Glo has the best data plan but their network is 😤😤,2,0
112,112,MrBayo_BY,@bod_republic Glo data plan sweet nah no network spoil ham 😳,0,0
113,113,Sethbertocarlos,"This glo weekend data plan 500 naira for 3gb na scam , I did it yesterday afternoon then don send me notification say e don finish 😂",1,0
114,114,olu_mayor01,@TikoUtd @MTN180 I have been enjoying my Glo even with a cheaper data plan,0,0
115,115,justin_belzy,@gerald_osagie I think Glo has better data plan,0,0
116,116,iamadekunleo,"~ that moment you’re about to show a client some products you’ve got on your WhatsApp catalog/insta page and then GLO whispers “your data plan has expired”

How person wan take access bank app😭",1,1
117,117,YOURdaddy278,@GloWorld I bought a data plan just now and I'm yet to receive it on my glo sim pls help with that,0,0
118,118,Kikporastar,"@skiddomax @the_Lawrenz @GloCare I fear who no fear Glo... Please they should stop deceiving the people, separate night data from the main data plan ... @GloCare",0,0
119,119,_Nwaribeaku,"Glo took me for granted when I was using their data plans. 

Stopped using them for about a month, now they want to use “your data plan is expired” messages to finish me 😂😂",0,0
120,120,DAdhekegba,"IMPORTANT UPDATE 
👉The *unique MTN CG (Corporate gifting) 1.5GB* data plan is now available @ N245/N250
👉 *AIRTEL CG and GLO CG* have been further reduced
👉 *Increased discount for MTN and Airtel airtime* for both smart users and agents
Website: https://t.co/ZWWpD5f72K",0,0
121,121,OluchukwuChisom,@GloCare Glo I want to ask you guys that 1gb nite you guys give for 500 data plan is for what bcos wen my data finish I can’t use it in the night why do you guys put it in the first place if someone can’t use it in the night,0,0
122,122,GloWorld,"@Bbyogee @Bbyogee , I am sorry to hear this and for the delayed response. A check showed that you exhausted the Glo Berekete 10x data bonus on your line. Your N1000 data plan is active. Kindly visit https://t.co/yL8KTjbij4 to view details of your data balance. _Paul",1,0
123,123,Toriaforall,"MTN made me subscribe to a data plan on my glo sim for the first time in like 2 years.
Well done o @MTN180",2,0
124,124,hendavoss,"Abeg this Glo social data plan called WTF, I thought it was supposed to cover WhatsApp Twitter and Facebook. Pls kindly check, I can only use Facebook and Whatsapp with it. @GloCare @GloWorld my phone number is 08054971019",0,0
125,125,lawadey,"Good news

Buy your internet bundle at affordable price. Mtn @ #225/gig, Airtel @ #225/gig, GLO  @ #235/gig. From our website https://t.co/gX2pZ8cmIL

DATA PLAN
✅✅work on all devices

✅✅faster delivery rate

✅✅cheap and affordable

✅✅a month validation https://t.co/on3BZI1DGE",2,1
126,126,olansileReverb,"@vivan_okeke If you use a glo sim
Try the data plan",0,0
127,127,appei_ya,@yabaleftonline Did data plan on GLO n they refused to activate it. Like why? @GloWorld,0,0
128,128,GloWorld,"@Prince_Ezeabata @PeterObi @Prince_Ezeabata  Hello  @Prince_Ezeabata, sincere apologies.  Please dial *127*01*NUMBER#, or SMS SHARE NUMBER to 127, from https://t.co/yL8KTjbij4 or via the Glo cafe app when you have an active data plan. *Nonso",0,0
129,129,chiboyempir3,@Naija_PR @AirtelNigeria why is my sim having issues after I recharged my data plan please fix it i don’t understand why your network is very bad and more terrible than glo God forbid please fix my problem let me use what I paid for even if it won’t last which we al kw,0,0
130,130,ronkedairo,@GloWorld @officialKelly27 @bod_republic How do I subscribe to glo data plan without including night data,0,0
131,131,MollyVado,@the_Lawrenz @GloWorld what's the cheapest data plan for your network because I purchase 40GB for 5000 naira with my mtn before they decreased it to 30GB. Pls do you have a cheaper offer because I wanna start subscribing my glo network,0,0
132,132,CupofCoffee_xo,"Nah. I gatta change my sim to airtel or Glo for next month’s data plan

I’ve had it up to here with MTN",0,0
133,133,GloWorld,"@damexhimself Hello, To unshare, please dial *127*02*Glo number #. To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0
134,134,GloWorld,"@fiolasbistro Hello, To unshare, please dial *127*02*Glo number #. To view the number, please dial *127*00# to view the number sharing data with you. 
Be informed that you should have an active data plan to unshared.    **ADA",0,0
135,135,GloCare,"@MbamaliVin @MbamaliVin For places outside these zones, the plans work as normal data bundle plans. To subscribe to the Glo Campus Data Booster data plan of your choice, dial *777# and follow the message prompt. ~ Godwin",0,0
136,136,GloWorld,"@olumidewale1 @GloCare @bod_republic @olumidewale1  Hello  @olumidewale1, sincere apologies. To remove a number when you have an active data plan, kindly  dial *127*02*glo number# or Send “Remove [glo number]” to 127. *Nonso",0,0
137,137,kbabaa,@dataisoxygen Glo data plan is d cheapest n d best🏃🏃,2,1
138,138,MTN180,"@Official_Jboy7 Sorry for this experience and the delayed response. We are unable to reverse a glo data plan. Please, checks on your line 081323**** show no active data bundle done on 13/3/2023. You  may reach out to your bank for further assistance. CA",0,0
139,139,dannyfrosh77,"@Timmynaijaa Glo
The best 
Very fast for a village area
Though sometimes network de black out.
Nice data plan to sha",1,0
140,140,MTN180,"@Official_Jboy7 Y'ello, I am deeply sorry to read about this. For clarity purposes, do you mean you wanted to subscribe for MTN data but mistakenly subscribe for a glo data plan on your MTN line please? ^NA",0,0
141,141,TheOluwatayo,"You Can Now Use Thesame Codes For All Network (MTN, Glo, Airtel, 9Mobile)
*300#= Call Centre
*303#= Borrow Service
*305#= Stop Service
*310#= Check Balance
*311*Pin#= Credit Recharge
*312#= Data Plan

#telecommunication",1,1
142,142,Duru__peta,"@ShodolamuAyomi1 @cenbank @MTN180 It’s sooo annoying, they do the same thing with their night plans, after a while they switch to your main data plan instead of using the night bundle, instead of getting a new sim I would rather switch to GLO cause their night plan is unlimited",0,0
143,143,IamJomar_J,"You can now use the same codes for all networks (MTN, GLO, Airtel, and 9mobile)

300 = Call Centre
*303# = Borrow Services;
*305# = STOP Service;
*310# = Check Balance
*311*pin# = Credit Recharge.
*312# = Data Plan",0,0
144,144,mosvinbami,"You can now use the same codes for all networks (MTN, GLO, Airtel, and 9mobile)

Nice 👍 

300= Call Centre
303= Borrow Services;
305= STOP Service;
310= Check Balance
311= Credit Recharge.
312= Data Plan
321= Share services
996 =Verification of SIM/NIN",9,2
145,145,prince_ibim,"@abazwhyllzz Honestly at the moment the best network is Glo; very good with data and last longer with satisfactory internet. Airtel has strong internet signal but poor and light data plan, their data doesn't last at all. 3G can just finish in one hour. Glo first and Airtel next. MTN for calls",1,0
146,146,LanreAduke,"Good morning Famclients 🤗
Happy new week.. ❤️
  Get your Cheap Internet Data Plan and Airtime Recharge for Airtel, 9mobile, GLO, MTN, Pay DSTV, GOTV, PHCN and Results check.. Also available for your Data giveaways..💯

NO SCAM ZONE ✅ 💯❤️
#Onlinetradefair #Askforvendors https://t.co/OyG5GF59Iu",77,70
147,147,solid5,"@GloCare I reached #1500 for a glo data plan yesterday night even I have been debited, uptill now am yet to receive the data plan.",0,0
148,148,AyeniisraelO,"@GloCare Good morning sir, pls i am not getting a data network on my glo line even after subscribing to a data plan. My number is 07056022675",0,0
149,149,AyeniisraelO,"@GloCare @Zee_Brams Good morning sir, pls i am not getting a data network on my glo line even after subscribing to a data plan. My number is 07056022675",0,0
150,150,AyeniisraelO,"@GloCare @ElfuzoSinZu Good morning sir, pls i am not getting a data network on my glo line even after subscribing to a data plan. My number is 07056022675",0,0
