Tweet,Analysis
" Hello , sincere apologies for that content. The word is also a nomenclature we use here with respect to our 4G services. Kindly disregard the message. No disrespect is meant. ​
***OGE",Strong
"Glo Unveils Data Roaming Services For Hajj Pilgrims - Customers of Nigeria’s foremost telecommunications company, Globacom, will enjoy affordable roaming data to stay connected with family and friends back home when performing their holy pilgrimage to Mecca and Medina.
The com... https://t.co/QF5unMVRRD",Strong
"Glo unveils data roaming services for Hajj pilgrims - Customers of Nigeria’s foremost telecommunications company, Globacom, will enjoy affordable roaming data to stay connected with family and friends back home when performing their holy pilgrimage to Mecca and Medina.
The com... https://t.co/PZrflC8uEy",Strong
" Only for me to put my pin I saw ""Airtime purchase of 19,900 has been successful""
I called my bank customer care line and they said there's nothing they can do I should call my network provider line 
I called glo customer care services and the person that answered me was like",Strong
"MTN, Glo, Airtel, and 9mobile stated their firm intention to disconnect bank customers from accessing bank services through USSD shortcodes codes",Weak
"  MTN, Airtel, Glo, 9Mobile Announced Single Codes for Data, Airtime, 11 Other Telecom Services. 

NB. Advise your customers accordingly. 

Don't say i never did anything for you!",Weak
 Greetings . This is not the experience we want you to have. Please know that we are dedicated to customer satisfaction and that we want you to have a positive experience with our services....,Strong
"The NCC has released a directive that as of May 17, 2023 Nigeria must switch to one set of
harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this. https://t.co/NnceQ7FjCj",Strong
"The NCC has released a directive that as of May 17, 2023 all telecom networks in Nigeria must switch to one set of harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this change. No longer will *556#, *123# or *232# work!",Strong
"The NCC has released a directive that as of May 17, 2023 all telecom networks in Nigeria must switch to one set of harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this change. No longer will *556#, *123# or *232# work!",Strong
"Nigerian mobile telecommunications companies consisting of MTN, Glo, Airtel and 9mobile are set to disconnect bank customers from using the Unstructured Supplementary Service Data services due to the N120bn debt owed to the operators.",Weak
We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely. announcement: https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,Strong
"In a sane country,by now an OEM or a MNO such as MTN/Airtel or Glo would have grabbed you, given you all the certification needed and supported you to open up your own super centre where you can give more customers personalised services for lesser charges. In turn you training more people thereby creating employment. But we're not in a sane country. Nigeria is upside-down 
Kudos to you bro keep up the excellent work and customer service!
#Obidients",Strong
 glo tops the chart of bad networks since 2017.i keep calling the customer care and they tell me things that dont work.I WISH A STRONG NETWORK COMES AND CLEARS ALL these BAD SERVICES,Weak
" Frankly speaking I don't like you people services.. this is almost 3 months now I mistakenly sent Glo credit card to an Mtn line, and I called the customer cares but I'll tricked and I sent emails to https://t.co/epDHQDsN5k or whatever they sent me to send an email, I",Neutral
"Our devoted customers of Glo Heated Tobacco Devices #HTD's were left with useless devices due to the unavailability of  's cigarettes in Egypt. This deceitful move by BAT has cheated customers of #Kult, who trusted and relied on us for quality products and services.",Weak
We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers https://t.co/EhNE7n5dzP  https://t.co/slWdPTZP4F,Strong
We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely on to develop and bring https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,Strong
" Glo please do something about your network. It’s very frustrating. I have been complaining since Saturday. Your customer care services keeps repeating same lines. I can’t browse, have to wait for minutes to load a page",Weak
We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely on to develop and bring life https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,Strong
We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely on to develop https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,Strong
"  Hello Glo team, this is totally unacceptable.  If you're having issues with your network why not come out to inform your customers this is bad of a company like you. You need to do something urgently about this poor services.",Weak
"Can people stop mentioning customer care services under a popular and trending tweet.

Any catchy news has gazillion of MTN, glo, gtb, access, Zenith, kedco, Edco etc complaints.

You have to swim through all these miscellaneous requests to read reactions.",Strong
"Network providers, like mtn, glo &amp; others do inform customers in advance, if they sense poor network. Why can't banks do the same to avoid all this incessant transactions failure?! We're sick of the terrible &amp; inefficient bank services. Get it fixed now or lose your customers.",Weak
" Dear Zenith, as a  concerned customer, I want to sincerely tell you guys that your services are no longer at the zenith. Every failed transaction is either from zenith or going to zenith.

Leave ads, take your time to work on everything, don't be like glo, please.

Eluu P",Neutral
"   U guys keep apologising but still do nothing. Only God knows when  customers ve bn complaining but no improvement. But keep spending millions of naira on advert u dnt need. We all knw glo exist, y not cut stone dis advert n focus on hw to improve ur services. My little opinion.",Weak
"  To an extent, glo has mad plans. N dy r not as bad as you tink if u are at a place with strong glo servers. Omo no hype customer care services because glo is one of the best for me, mails r returned, calls are top notch!!",Strong
"Today is Friday, a day meant specifically for a touch-up with Our relatives and friends,

ADH DIGITAL SERVICES in support of the above is giving an ~5% discount to Our dear customers today;

MTN 1GB=N250,GLO 1GB=N275 
AIRTEL 1GB=N275, 9MOBILE 1.1GB=N450

Mobile number:08160176005",Neutral
