Username,Tweet,Like Count,Retweet Count,Subjectivity,Polarity,Analysis
GloCare," Hello , sincere apologies for that content. The word is also a nomenclature we use here with respect to our 4G services. Kindly disregard the message. No disrespect is meant. ​
***OGE",0,0,0.7,0.55,Strong
ireportnews1,"Glo Unveils Data Roaming Services For Hajj Pilgrims - Customers of Nigeria’s foremost telecommunications company, Globacom, will enjoy affordable roaming data to stay connected with family and friends back home when performing their holy pilgrimage to Mecca and Medina.
The com... https://t.co/QF5unMVRRD",0,0,0.25,0.2,Strong
ireportnews1,"Glo unveils data roaming services for Hajj pilgrims - Customers of Nigeria’s foremost telecommunications company, Globacom, will enjoy affordable roaming data to stay connected with family and friends back home when performing their holy pilgrimage to Mecca and Medina.
The com... https://t.co/PZrflC8uEy",0,0,0.25,0.2,Strong
Thatgirlis92847," Only for me to put my pin I saw ""Airtime purchase of 19,900 has been successful""
I called my bank customer care line and they said there's nothing they can do I should call my network provider line 
I called glo customer care services and the person that answered me was like",0,0,0.975,0.375,Strong
TokunboAdesina,"MTN, Glo, Airtel, and 9mobile stated their firm intention to disconnect bank customers from accessing bank services through USSD shortcodes codes",11,1,0.4,-0.2,Weak
markvolare,"  MTN, Airtel, Glo, 9Mobile Announced Single Codes for Data, Airtime, 11 Other Telecom Services. 

NB. Advise your customers accordingly. 

Don't say i never did anything for you!",0,0,0.29464285714285715,-0.11383928571428571,Weak
9mobileng, Greetings . This is not the experience we want you to have. Please know that we are dedicated to customer satisfaction and that we want you to have a positive experience with our services....,0,0,0.5454545454545454,0.22727272727272727,Strong
MerchantPlug,"The NCC has released a directive that as of May 17, 2023 Nigeria must switch to one set of
harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this. https://t.co/NnceQ7FjCj",0,0,0.45454545454545453,0.13636363636363635,Strong
victorpraiztech,"The NCC has released a directive that as of May 17, 2023 all telecom networks in Nigeria must switch to one set of harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this change. No longer will *556#, *123# or *232# work!",8,3,0.45454545454545453,0.17045454545454544,Strong
victorpraiztech,"The NCC has released a directive that as of May 17, 2023 all telecom networks in Nigeria must switch to one set of harmonized service shortcodes for checking airtime and data balance, subscribing to new services and calling customer service. MTN, Airtel, Glo and 9mobile users should take note of this change. No longer will *556#, *123# or *232# work!",46,17,0.45454545454545453,0.17045454545454544,Strong
jamesnottbond,"Nigerian mobile telecommunications companies consisting of MTN, Glo, Airtel and 9mobile are set to disconnect bank customers from using the Unstructured Supplementary Service Data services due to the N120bn debt owed to the operators.",0,0,0.375,-0.125,Weak
sagarbarad2208,We’re excited to join GLO Healthcare – an expanding healthcare group created by CapVest – and continue advancing the #eClinical and #regulatory solutions and services our customers rely. announcement: https://t.co/EhNE7n4FKh  https://t.co/slWdPTZhf7,1,0,0.75,0.375,Strong
