,Username,Tweet,Like Count,Retweet Count,Subjectivity,Polarity,Analysis
0,GloWorld, IBORMAN001 MTNNG AirtelNigeria 9mobileng Hello IBORMAN001 Ou data plans have been designed to satisfy our customer s thirst for internet activities and they have been tested and trusted Simply dial 777 to purchase a data plan Dubby,0,0,0.35714285714285715,0.0,Neutral
1,GloWorld, NdupuAnthony CNNAfrica glonigeria Hello NdupuAnthony Kindly dial 127 02 phone number to unshare Please note that you need to have an active data plan to be able to unshare Dubby,0,0,0.7083333333333334,0.32222222222222224,Strong
2,GloWorld, Oyinkande Hello Oyinkande I am sorry to hear this and for the delayed response The N1000 data plan gives 1 9GB plus 2GB for nightly browsing which equals 3 9GB Kindly visit t co yL8KTjbij4 to view your data balance Thank you _Paul,0,0,0.95,0.04999999999999999,Strong
3,umehvictor19, SaharaReporters OPay_NG I bought mtn 6gb for 1500 weekly you Guy s debited the money and I did not receive any data when I called u guys said I selected glo data plan like seriously how is it possible for u to select glo plan with ussd code I will advice people to stop using opay,0,0,0.8333333333333333,-0.16666666666666666,Weak
4,umehvictor19, Sports_Doctor2 OPay_NG I bought mtn 6gb for 1500 weekly you Guy s debited the money and I did not receive any data when I called u guys said I selected glo data plan like seriously how is it possible for u to select glo plan with ussd code I will advice people to stop using opay,0,0,0.8333333333333333,-0.16666666666666666,Weak
5,GloWorld, O2Realtors CNNAfrica Hello O2Realtors Please note that N500 data plan gives 1 8GB 800 MB for day time browsing and 1GB for night browsing The night plan is activated between 12 am to 5 am Kindly visit t co yL8KTjbij4 to view your night bundle All inconveniences are regretted Funmi,0,0,0.9,0.6,Strong
6,GloWorld, James8640031684 Hello James8640031684 check shows that you purchased N1500 monthly bundle not Special N1500 plan which is 7GB Please note that the N1500 plan gives 3 5GB and 4GB night data plan to browse between 12am to 5am 30days 7 5GB Odewole,0,0,0.5714285714285714,-0.17857142857142858,Weak
7,kemisolar1369,If Glo wan kill someone like me finish make dem just remove ashawo data WTF from their data plan GloWorld I go just start dey use my phone dey play snake xenzia ,2,0,0.575,-0.35,Weak
8,GloCare, Fr33m4nD Itzchris16 Hello Fr33m4nD we sincerely apologize for being unable to browse with your night data plan Kindly switch on and off your flight mode then connect anytime from 12 am to 5 am Thank you _Paul,0,0,0.6333333333333333,0.19999999999999998,Strong
9,GloWorld, Martinsphil5 Hello Martinsphil5 I am sorry to hear this To unshare the number dial 127 02 number while on an active data plan Morayo,0,0,0.8,-0.31666666666666665,Weak
10,Ondo_Pikini, 3GB MTN 1k amp 10GB 2500 3GB GLO 1 2k 1 200 amp 10GB 2700 5GB Airtel 1 5k 1 500 amp 10GB 2700 9mobile 3GB 900 5GB 1 300 amp 10GB 2 200 All network Data plan is 30days Know be juju be that FREE GUY got you cover t co v5zUH02wpr,0,0,0.8,0.4,Strong
11,GloWorld, physicsdadd _kingjonah MTN180 Hello physicsdadd Kindly be informed that data depletion is based on your usage Please confirm that this 08077545359 is your correct number There was no 7GB data subscription on the line the current data plan is the pre activated N100 plan Adigun,0,0,0.65,0.3,Strong
12,iamorjiemmanuel,GLO feel off big time Network s shit data plan is shit,0,0,0.5666666666666668,-0.13333333333333333,Weak
13,GloWorld, seunajayi03 Hello seunajayi03 sorry about your experience Checks show that you have an active N500_Oneoff data plan When this happened may I know if you took any steps to make the situation better like restarting the phone or changing your network mode 2G 3G 4G Justin,0,0,0.7000000000000001,-0.04444444444444443,Weak
14,seunsimi,NCC have merge all Network codes to be the same So from today if you have MTN Airtel Glo and 9mobile Use the following code 1 Data plan 312 2 Airtime recharge 311 3 Borrow airtime 303 4 Data Balance 323 5 Account balance 310 6 Share data 321 7 Vas 305 ,1,0,0.1125,0.0,Neutral
15,GloWorld, Oyebidexx Hello Oyebidexx sorry about your experience Checks show that you do not have an active data plan Justin,0,0,0.8,-0.31666666666666665,Weak
16,Ugo_ez,I don t know which has better data plan between Airtel and Glo ,0,0,0.5,0.5,Strong
17,GloCare, olakunley1 Hello olakunley1 You may opt for our special data plan Please go through our 777 menu to view our data bundles and purchase the data plan of your choice Jane,0,0,0.5714285714285714,0.35714285714285715,Strong
18,GloCare, ChristianEkoba Hello ChristianEkoba Checks show that your line has been worked and that your data plan is active at the moment Please toggle your flight mode and restart your device now to resume your browsing We regret any inconvenience caused Jane,0,0,0.6,-0.13333333333333333,Weak
19,GloWorld, otuyojulius MTNNG AirtelNigeria Hi otuyojulius our unlimited 4G data plan goes for 60 000 80 000 monthly To set this up you can walk up to any of the Gloworld shops and sign up for the plan or email pricing enterprise gloworld com ,0,0,0.0,0.0,Neutral
20,GloWorld, d1_shyben desola__xn d1_shyben to view the numbers please dial 127 00 To remove any unwanted number please dial 127 02 NUMBER Removal will be successful only when you have an active data plan Godwin,1,0,0.85,0.20555555555555557,Strong
21,Aishah_Babby,Good morning Famclients Happy new week Get your Cheap Internet Data Plan and Airtime Recharge for Airtel 9mobile GLO MTN DSTV GOTV PHCN and Results check Also available for your Data giveaways NO SCAM ZONE Vendorsspot_OTF Askforvendors Vendorspototf t co COwy6oEcmY,35,33,0.630909090909091,0.4872727272727272,Strong
22,GloCare, KingsleyIbang11 SportyBobz Hello KingsleyIbang11 sincere apologies for my delayed response Please note that the Sunday data plan cannot be rolled over and cannot be merged with a regular data plan Jane,0,0,0.28846153846153844,0.25,Strong
23,GloWorld, Harmoho_rilwan MTNNG AirtelNigeria 9mobileng Harmoho_rilwan Our unlimited 4G data plan goes for 60 000 80 000 monthly To set this up you can walk up to any of the Gloworld shops and sign up for the plan or email pricing enterprise gloworld com ,0,0,0.0,0.0,Neutral
24,GloWorld, AKINKAZEEM002 AlhashimiUsman SERAPNigeria However if you require a data plan which can be used at any time of the day you can subscribe to any of our mega plans by dialing 777 Elo,0,0,0.0,0.0,Neutral
25,thusomakoa1, Sidney_Monageng Rele_Glo Spot on Plus the router and my mom s data plan I am paying R189 in total ,0,0,0.75,0.0,Neutral
26,TshepisoMaile, _tebok Rele_Glo My data plan too,0,0,0.0,0.0,Neutral
27,GloWorld, IdowuDavid08 Hello IdowuDavid08 Please note that your campus booster data plan can work anywhere However within campus environs you are charged half of the data volume used while browsing and when you browse outside the campus environs charges are back to the regular rate Justin,0,0,0.0733974358974359,-0.041666666666666664,Weak
28,GloWorld, TottleVictor Hello TottleVictor sorry about your experience Checks show that you have an active Special_500_Oneoff data plan May I know the exact network issue you are experiencing slow fluctuating or not browsing at all Justin,0,0,0.5625,-0.17083333333333334,Weak
29,GloWorld, therealjosh_7 bod_republic GloCare Hello therealjosh_7 sorry about your experience May I know if you have been able to purchase the data plan Justin,0,0,0.8125,0.0,Neutral
30,GloWorld, DarkSpace100 Hello DarkSpace100 I apologise for the delayed response Checks show you do not have an active data plan Kindly dial 312 to subscribe to data Kindly turn on and off your device flight mode for a better browsing experience Inconvenience regretted Yewande,0,0,0.725,0.39166666666666666,Strong
31,GloCare, iamsamsino iamsamsino To check for a data subscription dial 777 To check for a data plan balance dial 323 To check for an airtime balance dial 310 To recharge dial 311 ADA ,0,0,0.0,0.0,Neutral
32,GloWorld, Media_3SixtY Media_3SixtY May I know the data plan you intend to subscribe to via 777 Kindly provide your number via DM for checks and assistance Laura,0,0,0.9,0.6,Strong
33,GloWorld, Oyebidexx bod_republic Hello Oyebidexx sincere apologies The N500 data plan gives you 800MB 1GB which is 1 8GB The 1GB is a night data bonus which can be viewed via t co yL8KTjbij4 and can be accessed from 12 am 5 am Laura,0,0,0.5,0.5,Strong
34,GloWorld, ZAMANI87872865 ZAMANI87872865 Checks on the line show that there is no data Kindly subscribe to a data plan then put on and off the airplane mode on your device for 60 seconds and try connecting If the issue persists kindly revert Laura,0,0,0.9,0.6,Strong
35,GloWorld, Oyebidexx Hello Oyebidexx sincere apologies The N500 data plan gives you 800MB 1GB which is 1 8GB The 1GB is a night data bonus which can be viewed via t co yL8KTjbij4 and can be accessed from 12 am 5 am Laura,0,0,0.5,0.5,Strong
36,Gutsybless,NCC Have merge all Network code to the same Code MTN Airtel Glo and 9mobile dis is the codes you will be using now 1 Data plan 312 2 Airtime recharge 311 3 Borrow airtime 303 4 Data Balance 323 5 Account balance 310 6 Share data 321 7 Vas 305 ,3,3,0.125,0.0,Neutral
37,MomooreolwaA, Dear customer your data plan will expire soon Glo do you want to wreck me ,3,1,0.0,0.0,Neutral
38,RealEzeki,Below is the new combined USSD code for mobile network in Nigeria which took effect on 17 May 2023 MTN Glo Airtel 9Mobile and Ntel Credit Recharge 311 Account balance 310 Data Plan 312 Data Plan Balance 323 ,0,1,0.45454545454545453,0.13636363636363635,Strong
39,GloWorld, itsreree2 itsreree2 Please note that once the main data volume is exhausted the data plan expires irrespective of its validity The night bonus expires along with the data plan Jane,0,0,0.5166666666666666,-0.11666666666666668,Weak
40,GloWorld, itsreree2 itsreree2 please be aware that the nightly bonus data is only valid for the duration of the data plan you purchased Jane,0,0,0.625,0.125,Strong
41,GloWorld, itsreree2 BellaNaijaWed itsreree2 may I know if you are referring to the data plan that expired by 11 15 p m last night Jane,0,0,0.06666666666666667,0.0,Neutral
42,GloWorld, itsreree2 BellaNaijaWed Hello itsreree2 sincere apologies for my delayed response Checks show that your night data plan expired by 12 43 am this morning Jane,0,0,0.5,0.5,Strong
43,somah_ski,Does Glo have any data plan better than 1500 for 7gb ,1,0,0.5,0.5,Strong
44,niyyhi,Glo is my own problem right now Glo wants to finish me with messages of a data plan I never subscribed to expiring ,1,0,0.5452380952380952,0.3619047619047619,Strong
45,GloWorld, egbo_mathias VivianConcept atiku SecBlinken Hello egbo_mathias sincere apologies When you subscribe to a data plan kindly turn on and off your device s flight mode for a better browsing experience Sincere apologies for any inconvenience caused Morayo,1,0,0.6,0.525,Strong
46,GloWorld, Mmadubuezejo atiku SecBlinken Hello Mmadubuezejo thank you for reaching us and I m sorry for the delay in response Please dial 127 00 to view the number you shared data with while on an active data plan Morayo,0,0,0.8,-0.31666666666666665,Weak
47,GloWorld, ridwan4199 Hello ridwan4199 I am sorry to hear this A check shows you do not have an active data plan to browse on 07057333611 ,0,0,0.8,-0.31666666666666665,Weak
48,GloWorld, dammyhack Hello dammyhack Thank you for reaching us Please be informed that when you subscribe to the N10 000 data plan you will only be given 50GB However you will be given bonus MB on every recharge on Bereke 10x Morayo,0,0,1.0,0.0,Neutral
49,GloWorld, BamiVon Hello BamiVon I am sorry to hear this May I have your number and how much data plan you subscribed for Morayo,0,0,0.6,-0.15,Weak
50,GloWorld, OgokehChii OgokehChii Please note that N2000 data plan gives 9 2GB 5 2GB for day time browsing and 4GB for night browsing The day time data was used up completely while the night data was unused Funmi,0,0,0.4,0.1,Strong
51,OluwaAlake,How To Check Data Balance On GLo Open up your phone s dialer and punch in 127 0 You should automatically get a text displaying your current data balance with Glo Buy Cheap GLo Data Plan at MyData Factory t co xDRdSsFSaO t co 1GtNQysXGB,0,0,0.5333333333333333,0.13333333333333333,Strong
52,OluwaAlake,GLo Data Plan t co xDRdSsFSaO t co yg3M6Cqa9X,0,0,0.0,0.0,Neutral
53,Dr_DeathCODM, palmpay_ng Hello I mistakenly bought a Glo data plan for a MTN number,0,0,0.0,0.0,Neutral
54,Sadon_G, GloWorld You guys tend to pretend as if you don t know what you are doing Subscribing to glo data plan is as good as wasting your money No be by force and I still get the same SMS after activating the DND t co OLXoDkjpfM,0,0,0.36250000000000004,0.35,Strong
55,IamDannyben,Best in turning off and turning on airplane mode to activate Glo data plan t co IyiZC3ts1R,121,57,0.3,1.0,Very Strong
56,__Katrynaa,Glo users please which data plan do you guys use ,3,1,0.0,0.0,Neutral
57,OmotundeOyeban2,Data promo Data promo 15 discount on any Data plan purchased Mtn Airtel Glo 9mobil call now 08150494474,0,0,0.0,0.0,Neutral
58,tino_modise, Rele_Glo I m currently using it I m on the R319 unlimited data plan and it s amazing,0,0,0.65,0.30000000000000004,Strong
59,egaton77, GloWorld I have severally called your call centre to complain of an unreasonable data exhaustion but I have up till now not been given a logical explanation Its sad that one subscribe to a data plan of N5 000 in less than one week it s gone for a lite user Glo this fraud gat to stop,2,0,0.32916666666666666,-0.10416666666666666,Weak
60,Okikiolaoluwaa,Wahala my data plan will expire soon again Now I know Glo is really sucking data mehn tf egbami ,2,2,0.2,0.2,Strong
61,DeVixion,Glo saying you can work from home with their mega data plan Lemaooo Kuku sack me ,1,0,0.0,0.0,Neutral
62,OshobukolaExcel,I think the entire staff of MTNNG is feeding on my data because the rate at which my data finishes this day needs to be studied Data that I can t finish in a month before now finishes in a week Just how Abeg what s the glo or 9mobile data plan like MTNNG is a cheat ,0,0,0.625,0.0,Neutral
63,TijaniWahab9, destiny444c Dhavidote Pls brr I need a good data plan on glo,0,0,0.6000000000000001,0.7,Very Strong
64,chuks_nadia,Which network has the best daily data plan Airtel or GLO ,2,1,0.15,0.5,Strong
65,boshiame, GloWorld davido Hi GloWorld I have a Glo line that bought social bundle and the data plan isn t working Please Look into this ,0,0,0.06666666666666667,0.03333333333333333,Strong
66,rolams009,Important notice The NCC has successfully unified the ussd code for all telecom operators in Nigeria For GLO MTN AIRTEL ETISALAT Recharges and Data dial 311 for all recharge 310 for all credit balance 312 for all Data plan 323 for Data balance,0,0,0.975,0.575,Strong
67,KOSCITY1, h0llaOla Glo has most better data plan ever ,1,0,0.5,0.5,Strong
68,thenameismuzz,It s like I didn t subscribe for rain data plan coz what is this glo,0,0,0.0,0.0,Neutral
69,kopite04,Pls who can help with the best Glo data plan in the excess of 30gb Am switching from MTN before dey send me back to village ,1,0,0.15,0.5,Strong
