Tweet,Analysis
    Hello . Ou data plans have been designed to satisfy our customer's thirst for internet activities and they have been tested and trusted. Simply dial *777# to purchase a data plan.***Dubby,Neutral
   Hello . Kindly dial *127*02*phone number # to unshare. Please note that you need to have an active data plan to be able to unshare.***Dubby,Strong
" Hello  ,  I am sorry to hear this and for the delayed response. The N1000 data plan gives 1.9GB plus 2GB for nightly browsing, which equals 3.9GB. Kindly visit https://t.co/yL8KTjbij4 to view your data balance. Thank you. _Paul",Strong
"   I bought mtn 6gb for 1500 weekly you Guy's debited the money and I did not receive any data, when I called u guys said I selected glo data plan, like seriously ?/how is it possible for u to select glo plan with ussd code, I will advice people to stop using opay",Weak
"   I bought mtn 6gb for 1500 weekly you Guy's debited the money and I did not receive any data, when I called u guys said I selected glo data plan, like seriously ?/how is it possible for u to select glo plan with ussd code, I will advice people to stop using opay",Weak
"  Hello  .Please note that N500 data plan gives 1.8GB (800 MB  for day time browsing and 1GB for night browsing ).
The night plan is activated between 12 am to 5 am.
Kindly visit https://t.co/yL8KTjbij4 to view your night bundle.
All inconveniences are regretted.**Funmi",Strong
" Hello , check shows that you purchased N1500 monthly bundle not Special N1500 plan which is 7GB. Please note that the N1500 plan gives 3.5GB and 4GB night data plan to browse between 12am to 5am /30days =7.5GB. *Odewole",Weak
If Glo wan kill someone like me finish make dem just remove ashawo data (WTF) from their data plan🤣🤣🤣🤣 I go just start dey use my phone dey play snake xenzia 🐍🤷‍♀,Weak
"  Hello , we sincerely apologize for being unable to browse with your night data plan. Kindly switch on and off your flight mode, then connect anytime from 12 am to 5 am. Thank you. _Paul",Strong
" Hello , I am sorry  to hear this. To unshare the number, dial *127*02*number# while on an active data plan. 
**Morayo",Weak
"🟡3GB MTN #1k &amp; 10GB #2500
🟢3GB GLO 1.2k(#1,200) &amp; 10GB #2700  
🔴5GB Airtel #1.5k(#1,500) &amp; 10GB #2700😳
⚫️9mobile 3GB #900, 5GB  #1,300 &amp; 10GB  #2,200
🔲 All network Data plan is 30days! 

Know be juju be that? 
FREE-GUY$🤍 got you cover! https://t.co/v5zUH02wpr",Neutral
"   Hello . Kindly be informed that data depletion is based on your usage. Please confirm that this 08077545359 is your correct number. There was no 7GB data subscription on the line, the current data plan is the pre-activated N100 plan.   **Adigun",Strong
"GLO feel off big time!! Network's shit, data plan is shit",Weak
" Hello  , sorry about your experience.  Checks show that you have an active N500_Oneoff data plan.  When this happened, may I know if you took any steps to make the situation better, like restarting the phone or changing your network mode(2G,3G,4G)? *Justin",Weak
"NCC have merge all Network codes to be the same 
So from today if you have MTN, Airtel, Glo and 9mobile
Use the following code.
1. Data plan *312#
2. Airtime recharge *311#
3. Borrow airtime *303#
4. Data Balance  *323#
5. Account balance *310#
6. Share data  *321#
7. Vas  *305#",Neutral
