Unnamed: 0,Username,Tweet,Like Count,Retweet Count,Subjectivity,Polarity,Analysis
0,GloWorld,    Hello . Ou data plans have been designed to satisfy our customer's thirst for internet activities and they have been tested and trusted. Simply dial *777# to purchase a data plan.***Dubby,0,0,0.35714285714285715,0.0,Neutral
1,GloWorld,   Hello . Kindly dial *127*02*phone number # to unshare. Please note that you need to have an active data plan to be able to unshare.***Dubby,0,0,0.7083333333333334,0.32222222222222224,Strong
2,GloWorld," Hello  ,  I am sorry to hear this and for the delayed response. The N1000 data plan gives 1.9GB plus 2GB for nightly browsing, which equals 3.9GB. Kindly visit https://t.co/yL8KTjbij4 to view your data balance. Thank you. _Paul",0,0,0.95,0.04999999999999999,Strong
3,umehvictor19,"   I bought mtn 6gb for 1500 weekly you Guy's debited the money and I did not receive any data, when I called u guys said I selected glo data plan, like seriously ?/how is it possible for u to select glo plan with ussd code, I will advice people to stop using opay",0,0,0.8333333333333333,-0.16666666666666666,Weak
4,umehvictor19,"   I bought mtn 6gb for 1500 weekly you Guy's debited the money and I did not receive any data, when I called u guys said I selected glo data plan, like seriously ?/how is it possible for u to select glo plan with ussd code, I will advice people to stop using opay",0,0,0.8333333333333333,-0.16666666666666666,Weak
5,GloWorld,"  Hello  .Please note that N500 data plan gives 1.8GB (800 MB  for day time browsing and 1GB for night browsing ).
The night plan is activated between 12 am to 5 am.
Kindly visit https://t.co/yL8KTjbij4 to view your night bundle.
All inconveniences are regretted.**Funmi",0,0,0.9,0.6,Strong
6,GloWorld," Hello , check shows that you purchased N1500 monthly bundle not Special N1500 plan which is 7GB. Please note that the N1500 plan gives 3.5GB and 4GB night data plan to browse between 12am to 5am /30days =7.5GB. *Odewole",0,0,0.5714285714285714,-0.17857142857142858,Weak
7,kemisolar1369,If Glo wan kill someone like me finish make dem just remove ashawo data (WTF) from their data plan🤣🤣🤣🤣 I go just start dey use my phone dey play snake xenzia 🐍🤷‍♀,2,0,0.575,-0.35,Weak
8,GloCare,"  Hello , we sincerely apologize for being unable to browse with your night data plan. Kindly switch on and off your flight mode, then connect anytime from 12 am to 5 am. Thank you. _Paul",0,0,0.6333333333333333,0.19999999999999998,Strong
9,GloWorld," Hello , I am sorry  to hear this. To unshare the number, dial *127*02*number# while on an active data plan. 
**Morayo",0,0,0.8,-0.31666666666666665,Weak
10,Ondo_Pikini,"🟡3GB MTN #1k &amp; 10GB #2500
🟢3GB GLO 1.2k(#1,200) &amp; 10GB #2700  
🔴5GB Airtel #1.5k(#1,500) &amp; 10GB #2700😳
⚫️9mobile 3GB #900, 5GB  #1,300 &amp; 10GB  #2,200
🔲 All network Data plan is 30days! 

Know be juju be that? 
FREE-GUY$🤍 got you cover! https://t.co/v5zUH02wpr",0,0,0.0,0.0,Neutral
