Tweet,Analysis
our quality of service has gone down today because Glo no longer play that role. the industry is now an oligopoly,Weak
" I have nothing against boda Mike but I parted ways with glo 5 years ago. Not saying you should come to the sunny side but my 3 enTeeEn sims no dey put me for ‘ooo Gawd’

Egbon Ade needs to do better with his quality of service",Strong
" Partially incorrect, I use GLO and it's been a smooth sailing. Although the location also determine the quality of service",Strong
"Glo sells the cheapest mobile data, but are not top 2 for most data subscribers. There is a reason of quality of service for that. Still they pile money into adverts with nothing different happening. Speak of insanity.",Strong
"Dear  

Help Nigerians.

Please!

The Quality of Service rendered by   glo and Airtel is rubbish.

Their internet and other infrastructure should be audited for QC checks.",Weak
MTN network has been very bad for users in these past few days. They are slowly replacing GLO. My advice is for y'all to settle for Airtel. The truth is the quality of service delivered by these ISP providers has dropped badly. None is one hundred percent trustworthy.,Weak
" Same here. MTN, Glo, etc. have cheating their customers on data and call rates as poor quality of service",Weak
" Ever since you changed from   to  your quality of service has steady declined year in year out. Can’t believe I enjoyed better network service in 2013, compare to 2022, completely undependable, had to buy an extra glo router just incase. You guys😡😡",Strong
Glo needs to slow down on all these ads and focus on improving quality of service.,Weak
 Pls do o. The quality of service glo gives is a human rights violation.,Neutral
   Glo will not grow to any thing since their only investment to improve the quality of service is to have 'glo ambassador'.,Neutral
"   How? Which local telco provides the quality of service MTN has?

Does Glo or 9Mobile have the proper management to even attract foreign investment for infrastructural expansion?

See ehn, thank God for MTN in Nigeria",Weak
"I wouldn't think I'd ever post this from a Glo SIM: ""9mobile is hot trash"".
I just lost what would have been a productive day. These networks give us no baseline quality of service, they're business risks.",Strong
"  Switched to Glo in September, it's been night and day in terms of quality of service compared to Comcast.  Plus, I never have to deal with the world's worst customer service again.  Strongly recommend switching",Weak
 glo should invest in infrastructure to be at per or above their major competitors in respect to quality of service not spending millions on adverts to promote inefficient network.,Strong
" I'm bringing this to your notice as a patriotic citizen of this country.
Glo network is getting bad by d day especially data service,it is no where near other major competitors in terms of quality of service &amp; I'm afraid glo may end up like other Nigerian company b4 it.",Weak
"If adverts were quality of service, Glo would be the DStv of cable network in Nigeria.",Neutral
"Why choose Glo?

We thoroughly enjoy our work and this is reflected in the quality of service and workmanship that we deliver, we also pride ourselves on being reliable and transparent.

https://t.co/QBAceUQm54

#GloHeating #Services #WhyChooseUs https://t.co/jYHCXHqEA1",Strong
The truth is even with their dark moments of disappointments MTN still remains the best service provider in this country. We all expected Glo to do better but obviously they are more concerned about the number of mast they put up rather than the quality of service they provide.,Strong
"You people will use your entire days of the week to drag Glo network, only to borrow WiFi connection from Glo users to shade Airtel and MTN and 9mobile for poor quality of service.",Weak
