Username,Tweet,Like Count,Retweet Count,Subjectivity,Polarity,Analysis
AScully789,our quality of service has gone down today because Glo no longer play that role. the industry is now an oligopoly,0,0,0.2888888888888889,-0.15555555555555559,Weak
snrpapi," I have nothing against boda Mike but I parted ways with glo 5 years ago. Not saying you should come to the sunny side but my 3 enTeeEn sims no dey put me for ‘ooo Gawd’

Egbon Ade needs to do better with his quality of service",0,0,0.5,0.5,Strong
Otaporju," Partially incorrect, I use GLO and it's been a smooth sailing. Although the location also determine the quality of service",0,0,0.4,0.15000000000000002,Strong
4eyedmonk,"Glo sells the cheapest mobile data, but are not top 2 for most data subscribers. There is a reason of quality of service for that. Still they pile money into adverts with nothing different happening. Speak of insanity.",29,14,0.5333333333333333,0.08333333333333333,Strong
ElianaOsazee,"Dear  

Help Nigerians.

Please!

The Quality of Service rendered by   glo and Airtel is rubbish.

Their internet and other infrastructure should be audited for QC checks.",0,0,0.375,-0.125,Weak
SirDavidBent,MTN network has been very bad for users in these past few days. They are slowly replacing GLO. My advice is for y'all to settle for Airtel. The truth is the quality of service delivered by these ISP providers has dropped badly. None is one hundred percent trustworthy.,94,20,0.45666666666666667,-0.47199999999999986,Weak
NITGenius," Same here. MTN, Glo, etc. have cheating their customers on data and call rates as poor quality of service",0,0,0.3625,-0.2,Weak
Owi_PAID," Ever since you changed from   to  your quality of service has steady declined year in year out. Can’t believe I enjoyed better network service in 2013, compare to 2022, completely undependable, had to buy an extra glo router just incase. You guys😡😡",0,0,0.44000000000000006,0.2533333333333333,Strong
abujastreets,Glo needs to slow down on all these ads and focus on improving quality of service.,27,7,0.34444444444444444,-0.2277777777777778,Weak
_namedNameless, Pls do o. The quality of service glo gives is a human rights violation.,0,0,0.1,0.0,Neutral
niftycraftmc,   Glo will not grow to any thing since their only investment to improve the quality of service is to have 'glo ambassador'.,0,0,1.0,0.0,Neutral
_omoagba,"   How? Which local telco provides the quality of service MTN has?

Does Glo or 9Mobile have the proper management to even attract foreign investment for infrastructural expansion?

See ehn, thank God for MTN in Nigeria",1,0,0.075,-0.041666666666666664,Weak
humanly_typed,"I wouldn't think I'd ever post this from a Glo SIM: ""9mobile is hot trash"".
I just lost what would have been a productive day. These networks give us no baseline quality of service, they're business risks.",0,0,0.8500000000000001,0.25,Strong
awshields,"  Switched to Glo in September, it's been night and day in terms of quality of service compared to Comcast.  Plus, I never have to deal with the world's worst customer service again.  Strongly recommend switching",1,0,0.8666666666666667,-0.2833333333333333,Weak
SheriffOla4, glo should invest in infrastructure to be at per or above their major competitors in respect to quality of service not spending millions on adverts to promote inefficient network.,0,0,0.3,0.03125,Strong
SheriffOla4," I'm bringing this to your notice as a patriotic citizen of this country.
Glo network is getting bad by d day especially data service,it is no where near other major competitors in terms of quality of service &amp; I'm afraid glo may end up like other Nigerian company b4 it.",0,0,0.6023809523809524,-0.19821428571428568,Weak
