,Username,Tweet,Like Count,Retweet Count,Subjectivity,Polarity,Analysis
0,Successnas, GloWorld Yet to rectify my 2year old migration problem You should be ashamed that for over 2years I keep complaining over my inability to change tarrif plan yet you could not rectify it 08054540884 is the number Glo change my tarrif plan ,0,0,0.2,0.1,Strong
1,djdozzy_tweets, AirtelNigeria Pls i want to migrate to airtel tarrif plan whereby for every recharge I m been awarded airtime and data in glo is called globerekete,0,0,0.0,0.0,Neutral
2,SoOpaSnazzY, abisodewale AirtelNigeria Pls let me know the best tarrif plan for glo and browsing code tnx ,0,0,0.3,1.0,Very Strong
3,FaremiOB, GloCare GloWorld So I have been using my airtime to call your customer care lines for more than 4 times and you keep responding after 24hrs that the issue has been resolved but I still can t change my tarrif plan I need leave Gbam to Glo 11k sec please ,0,0,0.55,0.2,Strong
4,__Xquisite, GloWorld GloWorld Yeahh it got resolved the day after please bring back the yakata tarrif plan or something similar this glo berkete prepaid tariff plan isn t jus it thank You,0,0,0.2,0.0,Neutral
5,adenitan, GloCare what s the tarrif for the Glo N500 data plan that gives 8gig for 14 days I got an SMS advertising this as new data plans,0,0,0.45454545454545453,0.13636363636363635,Strong
6,realminablog,How To Change Glo Tarrif Plan t co uqH2y2LDZ0,0,0,0.0,0.0,Neutral
7,Vistanaij,GLO restructures tarrif plan t co 8TSKeC9ff0,0,0,0.0,0.0,Neutral
8,toyosiogun13,Glo berekete tarrif plan is so cheap and far better when it comes to call 36k sec main account and 77k sec voice bonus account also came with data benefits which is what I currently use to tweet All thanks to DONJAZZY for making this available to us all Dont sleep on it o t co DueivIZaID,0,0,0.525925925925926,0.1740740740740741,Strong
9,Pet4luv,Activate a Glo sim now and enjoy new GloBerekete tarrif plan donjazzy gloworld GloBekerete t co NnjWCQRriE,0,0,0.4772727272727273,0.2681818181818182,Strong
10,Itz_Oshoke,What are you waiting for Activate a Glo sim now and enjoy new GloBerekete tarrif plan t co TzlenYlxdM,0,0,0.4772727272727273,0.2681818181818182,Strong
11,RealEmmalez,Yaay gloworld just announced the emergence of donjazzy and tenimakanaki as it s new ambassadors with its launch of Glo Berekete Activate a Glo sim now and enjoy new GloBerekete tarrif plan t co zBYK0QvxNA,1,0,0.4696969696969697,0.22424242424242424,Strong
12,WildFlowerPR,Activate a Glo sim now and enjoy new Glo Berekete tarrif plan GloBerekete,0,0,0.4772727272727273,0.2681818181818182,Strong
