Tweet,Analysis
" Yet to rectify my 2year old migration problem.
You should be ashamed that for over 2years I keep complaining over my inability to change tarrif plan yet you could not rectify it. 08054540884 is the number
Glo change my tarrif plan! !! !!!",Strong
" Pls i want to migrate to airtel tarrif plan whereby for every recharge I’m been awarded airtime and data, in glo is called globerekete",Neutral
  Pls let me know the best tarrif plan for glo and browsing code ....tnx🙏,Very Strong
  So I have been using my airtime to call your customer care lines for more than 4 times and you keep responding after 24hrs that the issue has been resolved but I still can't change my tarrif plan. I need leave Gbam to Glo 11k/sec please...,Strong
"   Yeahh it got resolved the day after,please bring back the yakata tarrif plan or something similar,this glo berkete prepaid tariff plan isn't jus it....thank You",Neutral
" what's the tarrif for the Glo N500 data plan that gives 8gig for 14 days.
I got an SMS advertising this as new data plans",Strong
How To Change Glo Tarrif Plan https://t.co/uqH2y2LDZ0,Neutral
GLO restructures tarrif plan https://t.co/8TSKeC9ff0,Neutral
Glo berekete tarrif plan is so cheap and far better when it comes to call(36k/sec main account) and (77k/sec voice bonus account) also came with data benefits which is what I currently use to tweet. All thanks to   for making this available to us all. Dont sleep on it o. https://t.co/DueivIZaID,Strong
"Activate a Glo sim now and enjoy new #GloBerekete tarrif plan.
    #GloBekerete https://t.co/NnjWCQRriE",Strong
"What are you waiting for? 
Activate a Glo sim now and enjoy new #GloBerekete tarrif plan. https://t.co/TzlenYlxdM",Strong
"Yaay,  just announced the  emergence of  and  as it's new ambassadors with its launch of Glo Berekete. 

Activate a Glo sim now and enjoy new #GloBerekete tarrif plan. https://t.co/zBYK0QvxNA",Strong
Activate a Glo sim now and enjoy new Glo Berekete tarrif plan.#GloBerekete,Strong
" Hello Kayode, your line is on the 11k tarrif  GLO 11k/sec plan. Onnet call rate: 11k/s (Excluding VAT). Offnet call rate: 11k/s (Excluding VAT)
Access Fee on first outgoing call of the day: N7 (N7.17 including VAT) On-net SMS: N4/SMS. Off-net SMS: N4/SMS
AA",Strong
 Please I want to change my tarrif plan to glo yakata but not working. Please what do I do now,Neutral
"              Yes oo. Especially the ""Glo 11kobo Tarrif Plan"", you'll just call any number confortably without checking the time ❤️❤️",Neutral
" please what is the cheapest tarrif plan on glo, A tarrif that does not attract bonus though.",Neutral
 pls glo.i beg u in the name of God don't migrate my line to yakata again I hate the tarrif plan it's useless my tarrif plan is jumbo and I am ok with dat,Weak
  Taste differ baby . Whereas mtn and glo tarrif plan dey different,Neutral
" good morning Glo. Please, as an existing customer, I'll like to migrate to Glo Yakata tarrif plan. I learnt it's ""*230#"" but it's not working. Any tips?",Very Strong
"
I want to know the tarrif plan I'm using on my glo number: 08054767195
I want to activate to Glo Yakata and I am receiving invalid response when I dial *220#. Please kind help me out",Strong
     Don't mind the GLO users trying to convince MTN users to migrate to their tarrif plan....,Neutral
 Give short code to the available tarrif plan on Glo,Strong
 Glo pls u don't have 4g network in Benin edo state.?.. Cos I bought a 4g line  a Day ago... Up till now I am not seeing 4g network on my phone all I am seeing is 3g network . my no is 08159074403 and pls what is the benefit of the tarrif plan on my line?,Neutral
" hello glo care, pls what is the major difference btwn glo gbam and glo bounce tarrif plans, i make lots of calls and will like to knw which plan is most favorable",Strong
 Which tarrif plan is cheap in glo,Strong
 hi. I recently moved to Glo yakata tariff plan and I must say I am regretting that decision. Thing is i cant recollect what tarrif plan I was before migrating to yakata. Is there a way you could help me find out the previous plan I was on?,Weak
 Now I have #100 on my number and still can't subscribe to this Glo bam tarriff....  I spent much money on calls and I need a remedy to that asap. My number is 08071362898. Just subscribe me to the best package that have better tarrif plan asap,Strong
 is glo yakata also a plan? What's it tariff and glo bumpa tarrif?,Neutral
" Hello Glo Care 
If I migrate to Glo 11/sec tarrif plan will I still be able to receive Yakata bonus when I recharge",Strong
Hello  does Glo yakata tarrif plan stop working after 6 months of usage?,Neutral
